ID_PRODUCTOS,PRECIO_UNITARIO,COSTO_UNITARIO,,,,,,,,,
41368,93390," 72,844 ",,,,,,,,,
43741,28990," 24,352 ",,,,,,,,,
41914,99990," 70,993 ",,,,,,,,,
42541,172990," 147,042 ",,,,,,,,,
42347,183790," 159,897 ",,,,,,,,,
39501,14510," 10,447 ",,,,,,,,,
43063,25990," 21,572 ",,,,,,,,,
42048,10440," 8,978 ",,,,,,,,,
42376,64990," 57,191 ",,,,,,,,,
41903,10990," 9,451 ",,,,,,,,,
41910,72990," 61,312 ",,,,,,,,,
41759,22990," 17,702 ",,,,,,,,,
41629,154990," 108,493 ",,,,,,,,,
41630,46790," 37,900 ",,,,,,,,,
39162,69990," 59,492 ",,,,,,,,,
38241,20990," 18,681 ",,,,,,,,,
37175,15990," 13,112 ",,,,,,,,,
39395,119990," 85,193 ",,,,,,,,,
39327,6990," 5,802 ",,,,,,,,,
39359,44990," 33,743 ",,,,,,,,,
39382,43190," 36,712 ",,,,,,,,,
43825,14990," 10,943 ",,,,,,,,,
40798,99990," 76,992 ",,,,,,,,,
39301,36990," 33,291 ",,,,,,,,,
43393,30400," 25,840 ",,,,,,,,,
39284,8990," 6,832 ",,,,,,,,,
28149,9990," 7,293 ",,,,,,,,,
41851,299990," 230,992 ",,,,,,,,,
37674,3390," 2,509 ",,,,,,,,,
38881,875990," 718,312 ",,,,,,,,,
27946,9990," 7,992 ",,,,,,,,,
39710,9990," 8,891 ",,,,,,,,,
36324,12990," 10,002 ",,,,,,,,,
41862,69990," 50,393 ",,,,,,,,,
42316,44990," 35,992 ",,,,,,,,,
40617,1990," 1,493 ",,,,,,,,,
39330,990, 802 ,,,,,,,,,
43349,5290," 4,338 ",,,,,,,,,
37513,3990," 3,471 ",,,,,,,,,
43673,6990," 5,452 ",,,,,,,,,
42510,4990," 3,743 ",,,,,,,,,
35154,45990," 38,632 ",,,,,,,,,
39698,19990," 15,392 ",,,,,,,,,
39729,26990," 19,973 ",,,,,,,,,
42162,35990," 28,792 ",,,,,,,,,
41972,2490," 2,216 ",,,,,,,,,
34637,27690," 24,090 ",,,,,,,,,
41393,31990," 28,791 ",,,,,,,,,
42161,16990," 11,893 ",,,,,,,,,
34677,890, 792 ,,,,,,,,,
41973,990, 723 ,,,,,,,,,
41569,3290," 2,961 ",,,,,,,,,
